row	weekday	time	conf	national_tv	opp_win_p	opp_all_stars	win_p	attendance
64	Tu	5:00 pm	Non-Conference	Yes	More than 60%	0	0.5347142483619556	12576
65	Su	5:00 pm	Non-Conference	No	More than 60%	1	0.6539175442989438	15180
66	W	5:00 pm	Rivalry	No	More than 60%	1	0.53246660595706	22101
67	W	7:00 pm	conference	Yes	Less than 40%	1	0.4807741092175003	12851
68	Tu	7:00 pm	conference	Yes	More than 60%	1	0.5521352884966187	17208
69	Su	7:00 pm	Non-Conference	No	More than 60%	0	0.44490961856440936	14819
70	Th	7:00 pm	conference	Yes	Less than 40%	0	0.43514422608614745	13484
71	M	7:00 pm	Non-Conference	No	Less than 40%	0	0.5982617102718045	9965
72	Fr	7:00 pm	Non-Conference	No	Less than 40%	0	0.5796218913429112	10332
73	M	2:00 pm	Non-Conference	No	Less than 40%	1	0.5135800094426812	7328
74	Sa	2:00 pm	Non-Conference	Yes	40% - 60%	1	0.3570676762245796	10689
75	Fr	5:00 pm	conference	No	More than 60%	1	0.6823115438806823	17666
76	Sa	7:00 pm	Non-Conference	No	Less than 40%	0	0.45638185763771993	12282
77	M	7:00 pm	conference	Yes	More than 60%	1	0.4063476801278691	17555
78	Th	5:00 pm	conference	Yes	More than 60%	1	0.27409273012924984	15023
79	Tu	5:00 pm	Non-Conference	Yes	More than 60%	0	0.4322549408992376	13399
80	Su	7:00 pm	Rivalry	Yes	40% - 60%	2	0.4103338093055568	21837
81	Tu	2:00 pm	conference	No	40% - 60%	1	0.5316095688447662	13363
82	Su	7:00 pm	Non-Conference	No	Less than 40%	2	0.37513831977497114	12315
83	Sa	7:00 pm	conference	Yes	40% - 60%	1	0.5951282225403656	17335
84	Th	5:00 pm	conference	Yes	40% - 60%	3	0.5327051581555098	16646
85	M	5:00 pm	conference	No	40% - 60%	3	0.46574557267040706	16477
86	Sa	5:00 pm	Non-Conference	Yes	Less than 40%	1	0.511357018829601	11507
87	M	5:00 pm	conference	No	40% - 60%	1	0.6298753662347871	15404
88	Su	7:00 pm	conference	No	40% - 60%	1	0.6136594770180239	17427
89	Tu	2:00 pm	Rivalry	Yes	Less than 40%	0	0.573929028736859	14714
90	W	5:00 pm	conference	No	More than 60%	0	0.5445415273858999	16356
91	Tu	7:00 pm	Non-Conference	Yes	40% - 60%	1	0.3537156482198107	11635
92	Su	5:00 pm	conference	No	More than 60%	3	0.4285934230591295	20588
93	Su	7:00 pm	Non-Conference	No	40% - 60%	2	0.40973554786985983	14243
94	W	7:00 pm	Non-Conference	Yes	40% - 60%	0	0.25133222413843587	11555
95	Tu	7:00 pm	Non-Conference	No	Less than 40%	0	0.44376025201686214	9573
96	W	7:00 pm	Non-Conference	No	Less than 40%	1	0.550536008468563	11523
97	M	5:00 pm	Rivalry	No	40% - 60%	0	0.4818961110777957	19231
98	Su	5:00 pm	conference	No	40% - 60%	1	0.34370135640464694	15436
99	W	5:00 pm	Non-Conference	No	Less than 40%	0	0.523360602530895	8260
100	W	7:00 pm	Non-Conference	No	40% - 60%	1	0.35217252378486374	12397
101	Su	7:00 pm	Non-Conference	No	More than 60%	0	0.5117891236628357	14599
102	Sa	5:00 pm	conference	Yes	40% - 60%	0	0.5919656653530028	14680
103	Sa	5:00 pm	Non-Conference	Yes	40% - 60%	0	0.5533783274246349	12974
104	Su	7:00 pm	Non-Conference	Yes	More than 60%	0	0.6362765648136315	14457
105	W	2:00 pm	Rivalry	No	Less than 40%	3	0.5401249045678056	17316
106	Th	7:00 pm	Non-Conference	No	40% - 60%	0	0.3327595320793838	11148
107	Th	5:00 pm	Rivalry	Yes	More than 60%	1	0.44057105820286163	20727
108	Su	5:00 pm	Non-Conference	Yes	More than 60%	2	0.6248695142498536	15466
109	W	5:00 pm	Non-Conference	No	40% - 60%	1	0.6362428872500212	12317
110	W	7:00 pm	conference	Yes	Less than 40%	0	0.5807374146615996	12817
111	W	2:00 pm	Non-Conference	No	Less than 40%	2	0.7848956502868625	9230
112	Fr	5:00 pm	conference	No	Less than 40%	0	0.4748240412975997	11966
113	Su	5:00 pm	conference	No	Less than 40%	0	0.6087709312461675	13108
114	Tu	7:00 pm	Non-Conference	No	40% - 60%	2	0.4108644166763001	13680
115	M	5:00 pm	conference	No	More than 60%	0	0.4890176915992902	14735
116	Th	5:00 pm	Non-Conference	No	Less than 40%	3	0.500024866859167	12403
117	Tu	7:00 pm	conference	No	Less than 40%	2	0.25902153857651156	13992
118	Su	5:00 pm	conference	No	More than 60%	0	0.5208623498887884	16455
119	Fr	7:00 pm	conference	No	40% - 60%	0	0.5935376419313981	16029
120	M	7:00 pm	conference	Yes	More than 60%	1	0.13206346682770254	17465
121	W	7:00 pm	Non-Conference	No	Less than 40%	1	0.5821707688438582	10541
122	Fr	5:00 pm	conference	Yes	40% - 60%	2	0.45274523271964884	17511
123	Su	5:00 pm	Non-Conference	Yes	Less than 40%	0	0.316164686803751	9250
124	Th	7:00 pm	conference	No	40% - 60%	1	0.5146809461733588	15516
125	Sa	7:00 pm	conference	Yes	More than 60%	1	0.40927832205320414	18355
126	W	5:00 pm	conference	Yes	40% - 60%	0	0.7111817230032347	13522
127	Th	5:00 pm	Non-Conference	No	Less than 40%	1	0.4074410372022027	9121
128	Su	5:00 pm	conference	Yes	More than 60%	0	0.5507898386983455	16455
129	M	7:00 pm	conference	Yes	Less than 40%	1	0.5695839332839652	14071
130	Su	7:00 pm	conference	No	Less than 40%	0	0.5242502221746272	13212
131	Fr	7:00 pm	conference	No	40% - 60%	1	0.3980993879508158	16545
132	W	7:00 pm	Non-Conference	Yes	Less than 40%	0	0.5317668866506708	9867
133	Tu	7:00 pm	Non-Conference	No	More than 60%	0	0.4933006418299334	13758
134	M	7:00 pm	Non-Conference	No	Less than 40%	0	0.3920904072749074	10062
135	Su	5:00 pm	Non-Conference	No	More than 60%	1	0.4388118405883358	14802
136	Fr	7:00 pm	Non-Conference	No	Less than 40%	0	0.36754155157554047	10389
137	Tu	5:00 pm	conference	No	Less than 40%	0	0.6690500865438167	10859
138	Fr	7:00 pm	Non-Conference	Yes	Less than 40%	1	0.46419177654053784	10315
139	Fr	5:00 pm	Non-Conference	Yes	40% - 60%	0	0.4970141132153469	11519
140	M	7:00 pm	conference	Yes	Less than 40%	0	0.4661988159299801	11773
141	Fr	7:00 pm	Non-Conference	No	More than 60%	0	0.41539549187720315	15332
142	M	7:00 pm	Non-Conference	Yes	Less than 40%	0	0.6068542306711548	9190
143	W	7:00 pm	Non-Conference	Yes	40% - 60%	1	0.5606397752730161	12344
144	Su	7:00 pm	Rivalry	Yes	40% - 60%	0	0.3815546369929084	20144
145	Su	5:00 pm	conference	No	Less than 40%	2	0.45023050539550513	15365
146	Tu	5:00 pm	conference	Yes	More than 60%	0	0.4713395299310285	15101
147	Fr	5:00 pm	Non-Conference	Yes	40% - 60%	0	0.5733020153861164	11851
148	W	5:00 pm	Non-Conference	Yes	40% - 60%	0	0.47891904752646125	10593
149	W	5:00 pm	Rivalry	Yes	More than 60%	0	0.4822559943707658	20244
150	M	7:00 pm	Non-Conference	Yes	Less than 40%	0	0.48076860712515573	8802
151	Fr	5:00 pm	Non-Conference	No	40% - 60%	0	0.5375722019364674	11997
152	Fr	2:00 pm	Non-Conference	Yes	Less than 40%	1	0.4462289083858229	7752
153	Tu	7:00 pm	Non-Conference	Yes	Less than 40%	1	0.4684930929867078	10398
154	M	7:00 pm	Non-Conference	Yes	More than 60%	1	0.545623914134298	14823
155	M	5:00 pm	Rivalry	Yes	More than 60%	2	0.5535051626761958	22013
156	Tu	5:00 pm	Non-Conference	No	40% - 60%	0	0.5132333645887152	10995
157	Fr	7:00 pm	Non-Conference	No	40% - 60%	0	0.33419350913352647	11823
158	Tu	7:00 pm	Non-Conference	No	40% - 60%	0	0.4198444526608354	12022
159	Fr	7:00 pm	Non-Conference	No	Less than 40%	0	0.646557248928961	10928
160	Su	5:00 pm	conference	Yes	40% - 60%	2	0.35732018556198997	16253
161	Su	7:00 pm	Rivalry	No	40% - 60%	3	0.4378532729756166	23547
162	W	7:00 pm	conference	Yes	Less than 40%	0	0.5453269283207199	12359
163	Fr	7:00 pm	conference	Yes	40% - 60%	2	0.7238701451417444	17895
164	M	5:00 pm	Non-Conference	No	More than 60%	0	0.5109353432905723	12494
165	W	5:00 pm	Non-Conference	No	More than 60%	0	0.5117862214547734	12186
166	Th	5:00 pm	conference	No	40% - 60%	1	0.40177736039696366	14372
167	Fr	7:00 pm	Non-Conference	No	More than 60%	1	0.49015279847711624	15841
168	Sa	5:00 pm	conference	Yes	40% - 60%	1	0.48220714663607483	16889
169	Sa	7:00 pm	conference	No	More than 60%	0	0.4957310840780892	18997
170	Sa	5:00 pm	Non-Conference	Yes	40% - 60%	1	0.5006187233259928	12741
171	Th	7:00 pm	Non-Conference	No	More than 60%	1	0.7432757457383874	15106
172	Sa	5:00 pm	Non-Conference	No	40% - 60%	1	0.452624303195767	14003
173	Th	5:00 pm	Rivalry	Yes	Less than 40%	0	0.6525836547221492	16696
174	Fr	7:00 pm	Non-Conference	No	Less than 40%	2	0.40982570968369836	12419
175	Sa	7:00 pm	Non-Conference	Yes	40% - 60%	0	0.2669308684575533	13445
176	M	7:00 pm	Non-Conference	No	Less than 40%	1	0.6304915192398595	10232
177	Su	7:00 pm	conference	Yes	More than 60%	0	0.4852804902149297	17569
178	Th	5:00 pm	conference	No	Less than 40%	0	0.5865638752393914	12435
179	Fr	5:00 pm	Rivalry	Yes	40% - 60%	1	0.5970225008405737	20181
180	M	5:00 pm	conference	Yes	40% - 60%	0	0.39609750002490657	13790
181	Su	5:00 pm	Non-Conference	No	More than 60%	0	0.666803634730654	14384
182	Fr	7:00 pm	conference	Yes	Less than 40%	0	0.5762020317204563	12514
183	Su	2:00 pm	Rivalry	Yes	More than 60%	0	0.35896083385427235	19600
184	Su	7:00 pm	Non-Conference	Yes	Less than 40%	0	0.3718929667649046	9247
185	W	7:00 pm	Rivalry	No	Less than 40%	0	0.722113382472556	18334
186	Th	7:00 pm	Non-Conference	No	Less than 40%	1	0.612125841792843	10834
187	M	7:00 pm	conference	No	40% - 60%	0	0.49827796415994025	14444
188	W	7:00 pm	conference	Yes	40% - 60%	1	0.640473773709801	15360
189	Sa	7:00 pm	Non-Conference	Yes	Less than 40%	1	0.5266989002086916	12647
190	Tu	7:00 pm	Non-Conference	No	40% - 60%	1	0.37431850692069	13169
191	M	7:00 pm	conference	No	Less than 40%	1	0.2170943374094726	12812
192	Th	5:00 pm	Non-Conference	Yes	Less than 40%	0	0.38941184458445843	8318
193	Su	5:00 pm	Non-Conference	No	More than 60%	0	0.5138779547541493	13382
194	Su	7:00 pm	Non-Conference	No	Less than 40%	2	0.47540963799503844	12287
195	M	5:00 pm	Non-Conference	Yes	Less than 40%	0	0.7033314408241815	9158
196	M	7:00 pm	Non-Conference	Yes	40% - 60%	3	0.5984067822772684	14196
197	Fr	5:00 pm	Rivalry	No	More than 60%	0	0.45423327419816595	21794
198	Fr	5:00 pm	Non-Conference	No	40% - 60%	1	0.4908298985354231	13308
199	Th	7:00 pm	Non-Conference	No	Less than 40%	0	0.516638521174884	9484
200	Th	7:00 pm	Non-Conference	Yes	40% - 60%	1	0.629350149360765	12174
201	Th	5:00 pm	conference	No	Less than 40%	1	0.37831747049662096	12996
202	M	7:00 pm	Non-Conference	Yes	Less than 40%	0	0.5115371603542138	9256
203	W	5:00 pm	conference	Yes	40% - 60%	0	0.49823206737073705	13708
204	Fr	7:00 pm	conference	Yes	Less than 40%	1	0.46369980205903755	15313
205	Su	7:00 pm	Non-Conference	Yes	40% - 60%	1	0.4118085548885323	13378
206	Th	5:00 pm	Non-Conference	Yes	More than 60%	0	0.5889431413041298	13060
207	W	5:00 pm	Non-Conference	No	Less than 40%	3	0.5324429574433629	11876
208	M	7:00 pm	conference	Yes	40% - 60%	0	0.29802835938065564	14562
209	W	5:00 pm	Non-Conference	Yes	40% - 60%	1	0.5450561593097283	11129
210	M	5:00 pm	Non-Conference	Yes	40% - 60%	2	0.40552763261593616	12236
211	Th	7:00 pm	Non-Conference	Yes	More than 60%	2	0.5862013975958493	15544
212	Su	7:00 pm	conference	No	More than 60%	1	0.3872574127781167	18396
213	Fr	5:00 pm	Non-Conference	Yes	Less than 40%	2	0.455145312399698	12297
214	Th	5:00 pm	Non-Conference	No	40% - 60%	0	0.48738653174413993	10290
215	W	7:00 pm	conference	No	40% - 60%	1	0.5171202568587044	15647
216	Tu	5:00 pm	Non-Conference	No	Less than 40%	0	0.6098910672828094	9102
217	Fr	5:00 pm	Non-Conference	No	More than 60%	0	0.3604653193709574	13924
218	Sa	7:00 pm	Non-Conference	Yes	Less than 40%	2	0.4086481555200252	13729
219	Fr	5:00 pm	conference	Yes	More than 60%	3	0.746959824938412	19486
220	Tu	7:00 pm	Non-Conference	Yes	40% - 60%	1	0.49242354582934456	12932
221	M	7:00 pm	conference	Yes	More than 60%	1	0.32768927412128734	16604
222	W	5:00 pm	Non-Conference	No	40% - 60%	1	0.46942248910738227	11335
223	W	7:00 pm	Non-Conference	Yes	Less than 40%	2	0.5052088962374219	11144
224	Fr	2:00 pm	conference	Yes	40% - 60%	0	0.5846716671515931	12054
225	Th	7:00 pm	conference	No	Less than 40%	0	0.5105007185961432	12849
226	Su	2:00 pm	conference	No	Less than 40%	3	0.4517381849373005	14098
227	Sa	7:00 pm	Non-Conference	No	More than 60%	0	0.6268170195689464	15358
228	Th	7:00 pm	Non-Conference	Yes	Less than 40%	0	0.37069743305233327	8544
229	Th	7:00 pm	conference	No	Less than 40%	0	0.47121851003974435	12201
230	Sa	5:00 pm	Non-Conference	Yes	More than 60%	0	0.49202412992682876	13692
231	M	7:00 pm	conference	No	40% - 60%	0	0.4899243494733869	15159
232	Fr	5:00 pm	conference	Yes	Less than 40%	0	0.6132290356836531	11978
233	Fr	5:00 pm	Non-Conference	No	40% - 60%	2	0.46992289045086977	14369
234	Tu	7:00 pm	Non-Conference	No	40% - 60%	0	0.39582621066157997	12292
235	Su	5:00 pm	Non-Conference	No	More than 60%	0	0.49985667969453285	13166
236	W	7:00 pm	Non-Conference	Yes	Less than 40%	0	0.7624547517195568	9748
237	M	5:00 pm	Non-Conference	Yes	40% - 60%	0	0.4533680278268303	10536
238	Su	7:00 pm	Rivalry	Yes	40% - 60%	1	0.39451731373451354	20017
239	Su	5:00 pm	Non-Conference	Yes	40% - 60%	0	0.5613981346364185	11781
240	W	5:00 pm	conference	Yes	More than 60%	2	0.5546762343030824	17470
241	Sa	5:00 pm	conference	Yes	40% - 60%	0	0.47949953487883884	15156
242	Fr	5:00 pm	Rivalry	No	More than 60%	1	0.5674643161976467	22399
243	Su	5:00 pm	conference	No	More than 60%	0	0.5476733771210055	17102
244	W	7:00 pm	conference	Yes	40% - 60%	0	0.4823395763024943	14211
245	Su	7:00 pm	Non-Conference	Yes	More than 60%	0	0.5282609457043181	14197
246	Fr	5:00 pm	Non-Conference	Yes	More than 60%	0	0.4786529362513335	13685
247	Su	5:00 pm	Non-Conference	Yes	More than 60%	0	0.6108779918386676	14150
248	Fr	7:00 pm	conference	Yes	40% - 60%	3	0.4371385419114891	18741
249	Th	2:00 pm	conference	Yes	40% - 60%	0	0.49923029579409467	11665
250	Su	7:00 pm	conference	Yes	More than 60%	1	0.5266060815311708	17592
251	Su	5:00 pm	conference	Yes	40% - 60%	1	0.42862984477200217	15105
252	Tu	5:00 pm	Rivalry	Yes	40% - 60%	0	0.39411987258700554	18650
253	Sa	7:00 pm	conference	Yes	Less than 40%	0	0.5338538193791511	14203
254	W	5:00 pm	Non-Conference	No	Less than 40%	1	0.5029752909467166	9616
255	Su	5:00 pm	conference	Yes	Less than 40%	0	0.47985259221257537	12469
256	M	7:00 pm	conference	No	More than 60%	0	0.46084981699796346	16184
257	Su	5:00 pm	conference	No	40% - 60%	0	0.5477610356164913	15106
258	Tu	5:00 pm	conference	No	40% - 60%	1	0.4515925338127658	15055
259	M	5:00 pm	conference	Yes	40% - 60%	1	0.335357316438224	13895
260	Fr	7:00 pm	Non-Conference	No	More than 60%	0	0.34613988917219585	14201
261	W	7:00 pm	Non-Conference	No	40% - 60%	0	0.3705126890409898	11886
262	Fr	2:00 pm	Non-Conference	Yes	Less than 40%	1	0.4376804507710641	8765
263	Fr	7:00 pm	conference	No	Less than 40%	0	0.45536928401816046	13572
264	Th	2:00 pm	conference	Yes	40% - 60%	1	0.5841424384873615	12587
265	Tu	7:00 pm	conference	No	More than 60%	0	0.31283415345812393	16757
266	W	7:00 pm	conference	No	40% - 60%	1	0.40056428678498374	16001
267	Tu	5:00 pm	Non-Conference	No	More than 60%	3	0.5609845142444214	16221
268	Sa	5:00 pm	conference	No	More than 60%	0	0.4205962290085566	16983
269	M	7:00 pm	Non-Conference	No	40% - 60%	0	0.6102403046770604	11139
270	Tu	7:00 pm	conference	No	More than 60%	1	0.36830626389743326	16964
271	Th	5:00 pm	Non-Conference	Yes	40% - 60%	3	0.591982082462476	13262
272	Th	7:00 pm	Non-Conference	Yes	Less than 40%	0	0.3622002834204878	8577
273	Th	5:00 pm	conference	No	More than 60%	0	0.4017063425680646	15727
274	Sa	5:00 pm	Rivalry	Yes	40% - 60%	0	0.4998277060289375	20085
275	Th	7:00 pm	Rivalry	No	Less than 40%	2	0.4977726990621762	21025
276	Fr	7:00 pm	conference	Yes	Less than 40%	2	0.5274088576415378	14943
277	W	5:00 pm	Non-Conference	Yes	More than 60%	0	0.6390598979633084	12173
278	W	5:00 pm	Rivalry	Yes	40% - 60%	1	0.571083269694226	19798
279	Su	5:00 pm	Non-Conference	No	40% - 60%	1	0.37315313817060547	11794
280	Tu	5:00 pm	Non-Conference	Yes	Less than 40%	1	0.5148134409837295	9574
281	Su	7:00 pm	Non-Conference	No	40% - 60%	0	0.4176028427556677	12121
282	Tu	5:00 pm	conference	Yes	40% - 60%	0	0.6797661483997559	12964
283	W	5:00 pm	conference	Yes	More than 60%	0	0.5021150581307693	14052
284	Su	7:00 pm	Non-Conference	No	Less than 40%	0	0.4857914115654272	10379
285	Su	5:00 pm	conference	Yes	40% - 60%	1	0.5169774983289142	14739
286	Su	7:00 pm	Non-Conference	Yes	Less than 40%	1	0.48033213155178445	11368
287	Th	5:00 pm	Non-Conference	Yes	Less than 40%	0	0.6232052913309098	7963
288	Fr	5:00 pm	Rivalry	No	40% - 60%	1	0.5345133659301184	21041
289	Th	7:00 pm	Non-Conference	Yes	More than 60%	2	0.5766744636218895	16264
290	Sa	7:00 pm	conference	Yes	Less than 40%	0	0.48124109766544215	14031
291	Th	5:00 pm	Non-Conference	Yes	40% - 60%	2	0.58366679119474	12315
292	Fr	7:00 pm	conference	No	Less than 40%	1	0.5712130601889072	15234
293	Tu	5:00 pm	Non-Conference	Yes	Less than 40%	0	0.35232720521236127	8138
294	Th	5:00 pm	conference	No	40% - 60%	0	0.30207542085250694	12796
295	Fr	7:00 pm	conference	No	40% - 60%	0	0.5274563054066439	15504
296	Fr	7:00 pm	Non-Conference	Yes	40% - 60%	0	0.24091389253494483	11880
297	Tu	2:00 pm	Non-Conference	Yes	40% - 60%	1	0.48567468698490923	8621
298	M	5:00 pm	conference	No	More than 60%	1	0.4206265210875059	17021
299	Sa	7:00 pm	conference	Yes	Less than 40%	0	0.6141096328399046	13391
300	Th	7:00 pm	Non-Conference	Yes	More than 60%	1	0.6011147609059954	14459
301	Sa	5:00 pm	conference	No	Less than 40%	0	0.5710290676415493	13866
302	W	7:00 pm	conference	No	40% - 60%	2	0.3906847969257086	16513
303	Th	7:00 pm	Non-Conference	No	Less than 40%	0	0.6290603505235947	9863
304	Tu	2:00 pm	Non-Conference	No	Less than 40%	1	0.4731545157018949	8302
305	Tu	5:00 pm	conference	No	Less than 40%	2	0.29594196658204364	12527
306	Su	7:00 pm	Non-Conference	Yes	40% - 60%	0	0.5766928012762997	12433
307	W	7:00 pm	conference	Yes	40% - 60%	2	0.565680193708733	16059
308	Th	2:00 pm	Non-Conference	Yes	More than 60%	1	0.5838438248807303	11642
309	Fr	5:00 pm	conference	Yes	40% - 60%	0	0.47822361823538356	14975
310	W	2:00 pm	Non-Conference	No	More than 60%	0	0.41036835084638906	10480
311	Th	7:00 pm	Rivalry	No	40% - 60%	0	0.6490898652371662	20422
312	Tu	7:00 pm	Non-Conference	Yes	40% - 60%	0	0.4986757060366782	10258
313	M	5:00 pm	conference	Yes	More than 60%	0	0.5206886138662865	14650
314	Fr	5:00 pm	conference	No	More than 60%	1	0.34845914744701356	16741
315	Fr	5:00 pm	conference	No	More than 60%	0	0.6327278308795112	16090
316	Th	7:00 pm	Rivalry	Yes	Less than 40%	1	0.5322098931989472	18355
317	Su	7:00 pm	Non-Conference	Yes	40% - 60%	0	0.5250878894285185	13009
318	Fr	2:00 pm	Non-Conference	No	40% - 60%	1	0.3558478607152419	10206
319	Sa	5:00 pm	conference	Yes	40% - 60%	1	0.5538358173243554	16286
320	Tu	5:00 pm	Non-Conference	Yes	40% - 60%	1	0.4847426631982446	10722
321	Tu	7:00 pm	Non-Conference	Yes	More than 60%	1	0.27957547312122155	13615
322	Su	5:00 pm	Non-Conference	Yes	40% - 60%	1	0.4604501785215889	12531
323	M	7:00 pm	Non-Conference	No	Less than 40%	0	0.367946034314101	9735
324	W	7:00 pm	Non-Conference	No	More than 60%	1	0.5276389053046142	15361
325	Su	5:00 pm	Non-Conference	No	40% - 60%	2	0.42031355143820015	14154
326	Fr	7:00 pm	conference	Yes	40% - 60%	1	0.6252234166648314	15989
327	Th	2:00 pm	conference	Yes	More than 60%	1	0.5204008051064536	14823
328	Fr	5:00 pm	Non-Conference	No	40% - 60%	0	0.6301980201362092	11305
329	Th	7:00 pm	conference	No	40% - 60%	2	0.4102510386947894	16348
330	Th	7:00 pm	Non-Conference	No	More than 60%	0	0.6795353591354774	14112
331	Tu	7:00 pm	conference	Yes	Less than 40%	1	0.5065974344922866	13482
332	Th	7:00 pm	conference	No	40% - 60%	1	0.5283919013952975	15338
333	Sa	7:00 pm	Rivalry	Yes	Less than 40%	0	0.6235912838386046	18664
334	Su	7:00 pm	Non-Conference	Yes	More than 60%	1	0.4617136941708311	15744
335	W	7:00 pm	conference	Yes	Less than 40%	0	0.5259046061188216	11837
336	Sa	7:00 pm	conference	Yes	Less than 40%	0	0.5089424891104884	14814
337	Th	5:00 pm	conference	Yes	Less than 40%	0	0.4954626929764941	10910
338	Fr	5:00 pm	conference	No	More than 60%	0	0.45425697683156135	16459
339	Sa	5:00 pm	conference	No	More than 60%	0	0.5417167148513918	17078
